id,station_cd,name,name_bracket,name_kana,location,pref_cd,distance_gynecology,distance_pediatrics,distance_kindergarten,distance_nursery_school,distance_outside,distance_pediatric_dentistry,distance_otolaryngology,distance_dermatology,distance_learning,distance_primary_school,distance_ocular,distance_restaurant,is_disabled,created_at,deleted_at
30,20503,二股,二股,ﾌﾀﾏﾀ,POINT(140.3207 42.57591),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
31,20618,蕨岱,蕨岱,ﾜﾗﾋﾞﾀｲ,POINT(140.3133 42.62632),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
32,20184,黒松内,黒松内,ｸﾛﾏﾂﾅｲ,POINT(140.3056 42.66962),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
33,20426,熱郛,熱郛,ﾈｯﾌﾟ,POINT(140.3752 42.67568),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
34,20568,目名,目名,ﾒﾅ,POINT(140.4657 42.76139),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
35,20603,蘭越,蘭越,ﾗﾝｺｼ,POINT(140.5289 42.80453),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
36,20201,昆布,昆布,ｺﾝﾌﾞ,POINT(140.5962 42.79789),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
37,20419,ニセコ,ニセコ,ﾆｾｺ,POINT(140.6845 42.80867),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
38,20488,比羅夫,比羅夫,ﾋﾗﾌ,POINT(140.7226 42.84861),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
39,20176,倶知安,倶知安,ｸｯﾁｬﾝ,POINT(140.7455 42.90172),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
40,20193,小沢,小沢(北海道),ｺｻﾞﾜ,POINT(140.6776 42.97188),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
41,20175,銀山,銀山,ｷﾞﾝｻﾞﾝ,POINT(140.7153 43.04101),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
42,20240,然別,然別,ｼｶﾘﾍﾞﾂ,POINT(140.7372 43.12558),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
43,20390,仁木,仁木,ﾆｷ,POINT(140.7709 43.15414),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
44,20600,余市,余市,ﾖｲﾁ,POINT(140.7945 43.18652),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
45,20604,蘭島,蘭島,ﾗﾝｼﾏ,POINT(140.8548 43.1965),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
46,20236,塩谷,塩谷,ｼｵﾔ,POINT(140.9245 43.20233),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
47,20098,小樽,小樽,ｵﾀﾙ,POINT(140.9936 43.19714),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
48,20548,南小樽,南小樽,ﾐﾅﾐｵﾀﾙ,POINT(141.0079 43.18656),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
49,20099,小樽築港,小樽築港,ｵﾀﾙﾁｯｺｳ,POINT(141.0286 43.18076),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
50,20017,朝里,朝里,ｱｻﾘ,POINT(141.064 43.17684),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
51,20297,銭函,銭函,ｾﾞﾆﾊﾞｺ,POINT(141.1598 43.14334),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
52,29037,ほしみ,ほしみ,ﾎｼﾐ,POINT(141.1914 43.13374),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
53,20516,星置,星置,ﾎｼｵｷ,POINT(141.2104 43.13213),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
54,20050,稲穂,稲穂,ｲﾅﾎ,POINT(141.2227 43.12824),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
55,20334,手稲,手稲,ﾃｲﾈ,POINT(141.2439 43.12013),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
56,20049,稲積公園,稲積公園,ｲﾅﾂﾞﾐｺｳｴﾝ,POINT(141.2566 43.11243),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
57,20434,発寒,発寒,ﾊｯｻﾑ,POINT(141.2766 43.10022),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
58,20435,発寒中央,発寒中央,ﾊｯｻﾑﾁｭｳｵｳ,POINT(141.2944 43.08939),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
59,20195,琴似,琴似(函館本線),ｺﾄﾆ,POINT(141.3074 43.08133),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
60,20298,桑園,桑園,ｿｳｴﾝ,POINT(141.3319 43.07075),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
61,20220,札幌,札幌,ｻｯﾎﾟﾛ,POINT(141.3508 43.06866),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
62,20368,苗穂,苗穂,ﾅｴﾎﾞ,POINT(141.3763 43.06892),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
63,20264,白石,白石(函館本線),ｼﾛｲｼ,POINT(141.4141 43.05478),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
64,20023,厚別,厚別,ｱﾂﾍﾞﾂ,POINT(141.4633 43.04506),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
65,20283,森林公園,森林公園(北海道),ｼﾝﾘﾝｺｳｴﾝ,POINT(141.4814 43.05656),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
66,20070,大麻,大麻,ｵｵｱｻ,POINT(141.4969 43.0722),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
67,20429,野幌,野幌,ﾉｯﾎﾟﾛ,POINT(141.5299 43.09261),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
68,20303,高砂,高砂(北海道),ﾀｶｻｺﾞ,POINT(141.5407 43.10022),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
69,20067,江別,江別,ｴﾍﾞﾂ,POINT(141.5566 43.11023),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
70,20366,豊幌,豊幌,ﾄﾖﾎﾛ,POINT(141.6249 43.13644),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
71,20526,幌向,幌向,ﾎﾛﾑｲ,POINT(141.6555 43.15167),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
72,20139,上幌向,上幌向,ｶﾐﾎﾛﾑｲ,POINT(141.7153 43.18178),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
73,20052,岩見沢,岩見沢,ｲﾜﾐｻﾞﾜ,POINT(141.7591 43.20405),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
74,20562,峰延,峰延,ﾐﾈﾉﾌﾞ,POINT(141.8146 43.26466),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
75,20190,光珠内,光珠内,ｺｳｼｭﾅｲ,POINT(141.8446 43.29266),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
76,20491,美唄,美唄,ﾋﾞﾊﾞｲ,POINT(141.8621 43.33049),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
77,20314,茶志内,茶志内,ﾁｬｼﾅｲ,POINT(141.8734 43.36982),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
78,20367,奈井江,奈井江,ﾅｲｴ,POINT(141.8893 43.42395),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
79,20364,豊沼,豊沼,ﾄﾖﾇﾏ,POINT(141.901 43.4642),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
80,20289,砂川,砂川,ｽﾅｶﾞﾜ,POINT(141.9096 43.49353),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
81,20306,滝川,滝川,ﾀｷｶﾜ,POINT(141.9007 43.55513),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
82,20066,江部乙,江部乙,ｴﾍﾞｵﾂ,POINT(141.936 43.62771),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
83,20574,妹背牛,妹背牛,ﾓｾｳｼ,POINT(141.9667 43.69087),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
84,20499,深川,深川,ﾌｶｶﾞﾜ,POINT(142.0412 43.7212),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
85,20088,納内,納内,ｵｻﾑﾅｲ,POINT(142.1302 43.7324),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
86,20051,伊納,伊納,ｲﾉｳ,POINT(142.2717 43.76323),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
87,20324,近文,近文,ﾁｶﾌﾞﾐ,POINT(142.3254 43.78945),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
88,20012,旭川,旭川,ｱｻﾋｶﾜ,POINT(142.3581 43.76296),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
89,20034,池田園,池田園,ｲｹﾀﾞｴﾝ,POINT(140.7004 41.99071),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
90,29387,流山温泉,流山温泉,ﾅｶﾞﾚﾔﾏｵﾝｾﾝ,POINT(140.7167 42.00365),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
91,20320,銚子口,銚子口,ﾁｮｳｼｸﾞﾁ,POINT(140.7208 42.0156),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
92,20239,鹿部,鹿部,ｼｶﾍﾞ,POINT(140.7714 42.06457),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
93,20094,渡島沼尻,渡島沼尻,ｵｼﾏﾇﾏｼﾞﾘ,POINT(140.7476 42.10701),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
94,20091,渡島砂原,渡島砂原,ｵｼﾏｻﾜﾗ,POINT(140.6895 42.12172),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
95,20113,掛澗,掛澗,ｶｶﾘﾏ,POINT(140.6461 42.11922),1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,0,2012/6/27 14:22,2017/7/6 9:36
